pdb_id,experimental_method,experiment_data_available,title,entry_authors,sample_preparation_method,detector,detector_type,synchrotron_beamline,beam_source_name,diffraction_protocol,structure_determination_method,refinement_software,spacegroup,beam_source_type,synchrotron_site,structure_solution_software,data_reduction_software,data_scaling_software,phasing_method,SG_center_name,SG_full_name,crystallisation_reservoir,crystallisation_ph,pfam_accession,pfam_name,pfam_clan_name,pfam_description,interpro_accession,interpro_name,cath_code,cath_class,cath_architecture,cath_topology,cath_homologous_superfamily,ec_number,enzyme_name,enzyme_systematic_name,ec_hierarchy_name,go_id,biological_process,biological_function,biological_cell_component,scop_class,scop_fold,scop_superfamily,scop_family,uniprot_accession,uniprot_id,uniprot_coverage,bmrb_id,emdb_id,entity_weight,number_of_polymers,number_of_polymer_residues,number_of_polymer_entities,number_of_bound_entities,number_of_protein_chains,max_observed_residues,molecule_name,all_molecule_name,modified_residue_flag,molecule_type,mutation_type,molecule_synonym,gene_name,entity_id
1u96,Solution NMR,,Solution Structure of Yeast Cox17 with Copper Bound,"Abajian C,Yatsunyk LA,Ramirez BE,Rosenzweig AC",Engineered,,,,,Single wavelength,,,,,,,,,,,,,,PF05051,COX17,CHCH,Cytochrome C oxidase copper chaperone (COX17),"IPR007745,IPR009069","Cytochrome c oxidase copper chaperone,Cysteine alpha-hairpin motif superfamily",1.10.287.1130,Mainly Alpha,Orthogonal Bundle,Helix Hairpins,CytochromE C oxidase copper chaperone,,,,,"GO:0033617,GO:0015680,GO:0018343,GO:0006825,GO:0046872,GO:1903136,GO:0005507,GO:0016531,GO:0005758,GO:0005739,GO:0005829","mitochondrial cytochrome c oxidase assembly,protein maturation by copper ion transfer,protein farnesylation,copper ion transport","metal ion binding,cuprous ion binding,copper ion binding,copper chaperone activity","mitochondrial intermembrane space,mitochondrion,cytosol",All alpha proteins,Cysteine alpha-hairpin motif,Cysteine alpha-hairpin motif,COX17-like,Q12287,COX17_YEAST,1.0,,,8069.09,1,139,1,1,1,69,Cytochrome c oxidase copper chaperone,,N,Protein,Initiating methionine,Cytochrome c oxidase copper chaperone,"YLL009C,COX17,L1343",1
2jvb,Solution NMR,y,Solution Structure of Catalytic Domain of yDcp2,"Deshmukh M,Gross J",Engineered,,,,,,,,,,,,,,,,,,,PF00293,NUDIX,NUDIX,NUDIX domain,"IPR000086,IPR015797","NUDIX hydrolase domain,NUDIX hydrolase-like domain superfamily",3.90.79.10,Alpha Beta,Alpha-Beta Complex,Nucleoside Triphosphate Pyrophosphohydrolase,Nucleoside Triphosphate Pyrophosphohydrolase,3.6.1.62,5'-(N(7)-methylguanosine 5'-triphospho)-[mRNA] hydrolase,5'-(N(7)-methylguanosine 5'-triphospho)-[mRNA] N(7)-methylguanosine-5'-diphosphate phosphohydrolase,"Hydrolases,Acting on acid anhydrides,In phosphorus-containing anhydrides,5'-(N(7)-methylguanosine 5'-triphospho)-[mRNA] hydrolase",GO:0016787,,hydrolase activity,,,,,,P53550,DCP2_YEAST,0.15,7325,,17378.91,1,438,1,0,1,146,m7GpppN-mRNA hydrolase,,N,Protein,,"mRNA-decapping enzyme subunit 2,Protein PSU1,m7GpppN-mRNA hydrolase","DCP2,PSU1,N1917,YNL118C",1
1iou,Solution NMR,,SOLUTION STRUCTURE OF YKT6P (1-140),"Tochio H,Tsui MMK,Banfield DK,Zhang M",Engineered,,,,,Single wavelength,,,,,,,,,,,,,,PF13774,Longin,,Regulated-SNARE-like domain,"IPR010908,IPR011012","Longin domain,Longin-like domain superfamily","3.30.450.50,3.30.450.50","Alpha Beta,Alpha Beta","2-Layer Sandwich,2-Layer Sandwich","Beta-Lactamase,Beta-Lactamase","Beta-Lactamase,Longin domain",,,,,,,,,Alpha and beta proteins (a+b),Profilin-like,SNARE-like,Synatpobrevin N-terminal domain,P36015,YKT6_YEAST,0.7,,,15854.735,1,280,1,0,1,140,Synaptobrevin homolog YKT6,,N,Protein,Conflict,Synaptobrevin homolog YKT6,"YKL196C,YKT6",1
2l6j,Solution NMR,y,Tah1 complexed by MEEVD,"Jimenez B,Ugwu F,Zhao R,Orti L,Houry WA,Pineda-Lucena A",Engineered,,,,,,,,,,,,,,,,,,,PF14559,TPR_19,TPR,Tetratricopeptide repeat,"IPR019734,IPR011990","Tetratricopeptide repeat,Tetratricopeptide-like helical domain superfamily","1.25.40.10,1.25.40.10","Mainly Alpha,Mainly Alpha","Alpha Horseshoe,Alpha Horseshoe","Serine Threonine Protein Phosphatase 5\, Tetratricopeptide repeat,Serine Threonine Protein Phosphatase 5\, Tetratricopeptide repeat","Serine Threonine Protein Phosphatase 5\, Tetratricopeptide repeat,Tetratricopeptide repeat domain",,,,,"GO:0006457,GO:0000492,GO:0005515,GO:0051087,GO:0005634,GO:0005737,GO:0097255","protein folding,box C/D snoRNP assembly","protein binding,chaperone binding","nucleus,cytoplasm,R2TP complex",,,,,P25638,TAH1_YEAST,1.0,17312,,12524.139,2,116,2,0,2,111,TPR repeat-containing protein associated with Hsp90,,N,Protein,,TPR repeat-containing protein associated with Hsp90,"TAH1,YCR060W,YCR60W",1
5tvz,Solution NMR,y,"Solution NMR structure of Saccharomyces cerevisiae Pom152 Ig-like repeat, residues 718-820","Dutta K,Sampathkumar P,Cowburn D,Almo SC,Rout MP,Fernandez-Martinez J",Engineered,,,,,,,,,,,,,,,,,,,,,,,IPR037701,Nucleoporin Pom152,,,,,,,,,,GO:0017056,,structural constituent of nuclear pore,,,,,,P39685,PO152_YEAST,0.08,30201,,12741.649,1,114,1,0,1,103,Nucleoporin POM152,,N,Protein,Expression tag,"P150,Nuclear pore protein POM152,Nucleoporin POM152,Pore membrane protein POM152","YMR129W,POM152,YM9553.05",1
1hbw,Solution NMR,y,Solution nmr structure of the dimerization domain of the yeast transcriptional activator Gal4 (residues 50-106),"Hidalgo P,Ansari AZ,Schmidt P,Hare B,Simkovic N,Farrell S,Shin EJ,Ptashne M,Wagner G",Synthetic,,,,,,,,P 1,,,,,,,,,,,PF03902,Gal4_dimer,,Gal4-like dimerisation domain,IPR005600,Gal4 dimerisation domain,1.20.5.170,Mainly Alpha,Up-down Bundle,Single alpha-helices involved in coiled-coils or other helix-helix interfaces,Single alpha-helices involved in coiled-coils or other helix-helix interfaces,,,,,,,,,Coiled coil proteins,Parallel coiled-coil,Leucine zipper domain,Leucine zipper domain,P04386,GAL4_YEAST,0.06,5180,,6693.702,2,114,1,0,2,57,Regulatory protein GAL4,,N,Protein,Engineered mutation,Regulatory protein GAL4,"GAL4,YPL248C",1
2l4f,Solution NMR,y,NMR structure of the UBA domain of S. cerevisiae Dcn1 bound to ubiquitin,"Burschowsky D,Mattle D,Rudolf F,Peter M,Wider G",Engineered,,,,,,,,,,,,,,,,,,,PF14555,UBA_4,UBA,UBA-like domain,IPR009060,UBA-like superfamily,"1.10.8.10,1.10.8.10","Mainly Alpha,Mainly Alpha","Orthogonal Bundle,Orthogonal Bundle","Helicase\, Ruva Protein; domain 3,Helicase\, Ruva Protein; domain 3","DNA helicase RuvA subunit\, C-terminal domain,Ubiquitin-associated (UBA) domain",,,,,,,,,,,,,Q12395,DCN1_YEAST,0.21,17239,,6924.632,1,59,1,0,1,57,Defective in cullin neddylation protein 1,,N,Protein,Expression tag,Defective in cullin neddylation protein 1,"YLR128W,L3111,DCN1",1
2kym,Solution NMR,y,Solution structure of the Bem1p SH3-CI domain from L.elongisporus in complex with Ste20p peptide,"Gorelik M,Muhandiram R,Davidson AR",Synthetic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.7.11.1,Non-specific serine/threonine protein kinase,ATP:protein phosphotransferase (non-specific),"Transferases,Transferring phosphorus-containing groups,Protein-serine/threonine kinases,Non-specific serine/threonine protein kinase",,,,,,,,,Q03497,STE20_YEAST,0.02,16970,,1639.915,2,136,2,0,2,16,Serine/threonine-protein kinase STE20,,N,Protein,,Serine/threonine-protein kinase STE20,"STE20,YHL007C",2
2kdi,Solution NMR,y,Solution structure of a Ubiquitin/UIM fusion protein,"Sgourakis NG,Patel MM,Garcia AE,Makhatadze GI,McCallum SA",Engineered,,,,,,,,,,,,,,,,,,,PF00240,ubiquitin,Ubiquitin,Ubiquitin family,"IPR019956,IPR029071,IPR000626","Ubiquitin domain,Ubiquitin-like domain superfamily,Ubiquitin-like domain",3.10.20.90,Alpha Beta,Roll,Ubiquitin-like (UB roll),"Phosphatidylinositol 3-kinase Catalytic Subunit; Chain A\, domain 1",,,,,,,,,,,,,P0CG63,UBI4P_YEAST,0.24,16114,,12867.4,1,114,1,0,1,114,Ubiquitin,,N,Protein,"Expression tag,Engineered mutation,Conflict,Linker","Ubiquitin,Polyubiquitin","UBI4,SCD2,YLL039C",1
2kfj,Solution NMR,y,Solution structure of the loop deletion mutant of PB1 domain of Cdc24p,"Ogura K,Tandai T,Yoshinaga S,Kobashigawa Y,Kumeta H,Inagaki F",Engineered,,,,,,,,,,,,,,,,,,,,,,,IPR000270,PB1 domain,3.10.20.90,Alpha Beta,Roll,Ubiquitin-like (UB roll),"Phosphatidylinositol 3-kinase Catalytic Subunit; Chain A\, domain 1",,,,,,,,,,,,,P11433,CDC24_YEAST,0.1,,,10050.368,1,174,1,0,1,86,Cell division control protein 24,,N,Protein,Expression tag,"Cell division control protein 24,Calcium regulatory protein","YAL041W,CLS4,CDC24",1
2l41,Solution NMR,y,Nab3 RRM - UCUU complex,"Stefl R,Pergoli R,Hobor F,Kubicek K,Zimmermann M,Pasulka J,Hofr C",Engineered,,,,,,,,,,,,,,,,,,,PF00076,RRM_1,RRM,"RNA recognition motif. (a.k.a. RRM\, RBD\, or RNP domain)","IPR000504,IPR012677,IPR035979","RNA recognition motif domain,Nucleotide-binding alpha-beta plait domain superfamily,RNA-binding domain superfamily","3.30.70.330,3.30.70.330","Alpha Beta,Alpha Beta","2-Layer Sandwich,2-Layer Sandwich","Alpha-Beta Plaits,Alpha-Beta Plaits","Alpha-Beta Plaits,RRM (RNA recognition motif) domain",,,,,GO:0003676,,nucleic acid binding,,,,,,P38996,NAB3_YEAST,0.1,,,8829.131,2,243,2,0,1,77,Nuclear polyadenylated RNA-binding protein 3,,N,Protein,,Nuclear polyadenylated RNA-binding protein 3,"NAB3,HMD1,YPL190C",1
2g3q,Solution NMR,,Solution Structure of Ede1 UBA-ubiquitin complex,"Swanson KA,Hicke L,Radhakrishnan I",Engineered,,,,,Single wavelength,,,P 1,,,,,,,,,,,PF00240,ubiquitin,Ubiquitin,Ubiquitin family,"IPR019956,IPR029071,IPR000626","Ubiquitin domain,Ubiquitin-like domain superfamily,Ubiquitin-like domain",3.10.20.90,Alpha Beta,Roll,Ubiquitin-like (UB roll),"Phosphatidylinositol 3-kinase Catalytic Subunit; Chain A\, domain 1",,,,,,,,,Alpha and beta proteins (a+b),beta-Grasp (ubiquitin-like),Ubiquitin-like,Ubiquitin-related,P0CG63,UBI4P_YEAST,0.2,,,8568.769,2,238,2,0,2,76,Ubiquitin,,N,Protein,,"Ubiquitin,Polyubiquitin","UBI4,SCD2,YLL039C",2
2g3q,Solution NMR,,Solution Structure of Ede1 UBA-ubiquitin complex,"Swanson KA,Hicke L,Radhakrishnan I",Engineered,,,,,Single wavelength,,,P 1,,,,,,,,,,,PF00627,UBA,UBA,UBA/TS-N domain,"IPR015940,IPR009060","Ubiquitin-associated domain,UBA-like superfamily","1.10.8.10,1.10.8.10","Mainly Alpha,Mainly Alpha","Orthogonal Bundle,Orthogonal Bundle","Helicase\, Ruva Protein; domain 3,Helicase\, Ruva Protein; domain 3","DNA helicase RuvA subunit\, C-terminal domain,Ubiquitin-associated (UBA) domain",,,,,,,,,All alpha proteins,RuvA C-terminal domain-like,UBA-like,UBA domain,P34216,EDE1_YEAST,0.03,,,4687.109,2,238,2,0,2,43,EH domain-containing and endocytosis protein 1,,N,Protein,,"EH domain-containing and endocytosis protein 1,Bud site selection protein 15","YBL0501,YBL0520,YBL047C,EDE1,BUD15",1
2jt4,Solution NMR,y,Solution Structure of the Sla1 SH3-3-Ubiquitin Complex,"He Y,Radhakrishnan I",Engineered,,,,,,,,,,,,,,,,,,,PF00018,SH3_1,SH3,SH3 domain,"IPR001452,IPR036028,IPR035821,IPR029922","SH3 domain,SH3-like domain superfamily,Sla1\, third SH3 domain,Sla1",2.30.30.40,Mainly Beta,Roll,SH3 type barrels.,SH3 Domains,,,,,GO:0006897,endocytosis,,,,,,,P32790,SLA1_YEAST,0.06,,,8179.383,2,441,2,0,2,71,Actin cytoskeleton-regulatory complex protein SLA1,,N,Protein,,Actin cytoskeleton-regulatory complex protein SLA1,"SLA1,YBL0321,YBL007C",1
2jt4,Solution NMR,y,Solution Structure of the Sla1 SH3-3-Ubiquitin Complex,"He Y,Radhakrishnan I",Engineered,,,,,,,,,,,,,,,,,,,PF00240,ubiquitin,Ubiquitin,Ubiquitin family,"IPR019956,IPR029071,IPR000626","Ubiquitin domain,Ubiquitin-like domain superfamily,Ubiquitin-like domain",3.10.20.90,Alpha Beta,Roll,Ubiquitin-like (UB roll),"Phosphatidylinositol 3-kinase Catalytic Subunit; Chain A\, domain 1",,,,,,,,,Alpha and beta proteins (a+b),beta-Grasp (ubiquitin-like),Ubiquitin-like,Ubiquitin-related,P0CG63,UBI4P_YEAST,0.2,,,8568.769,2,441,2,0,2,76,Ubiquitin,,N,Protein,,"Ubiquitin,Polyubiquitin","UBI4,SCD2,YLL039C",2
2gs0,Solution NMR,y,NMR structure of the complex between the PH domain of the Tfb1 subunit from TFIIH and the activation domain of p53,"Di Lello P,Jones TN,Nguyen BD,Legault P,Omichinski JG",Engineered,,,,,Single wavelength,,,,,,,,,,,,,,PF08567,PH_TFIIH,PH,"TFIIH p62 subunit\, N-terminal domain","IPR011993,IPR027079,IPR013876","PH-like domain superfamily,TFIIH subunit Tfb1/GTF2H1,TFIIH p62 subunit\, N-terminal",2.30.29.30,Mainly Beta,Roll,PH-domain like,Pleckstrin-homology domain (PH domain)/Phosphotyrosine-binding domain (PTB),,,,,"GO:0006351,GO:0006289,GO:0000439","transcription\, DNA-templated,nucleotide-excision repair",,transcription factor TFIIH core complex,All beta proteins,PH domain-like barrel,PH domain-like,TFIIH domain,P32776,TFB1_YEAST,0.18,,,12903.701,2,507,2,0,2,115,General transcription and DNA repair factor IIH subunit TFB1,,N,Protein,Engineered mutation,"General transcription and DNA repair factor IIH subunit TFB1,TFIIH subunit TFB1,RNA polymerase II transcription factor B 73 kDa subunit,RNA polymerase II transcription factor B p73 subunit,RNA polymerase II transcription factor B subunit 1","D9740.3,YDR311W,TFB1",1
1tz1,Solution NMR,,Solution structure of the PB1 domain of CDC24P (short form),"Yoshinaga S,Terasawa H,Ogura K,Noda Y,Ito T,Sumimoto H,Inagaki F",Engineered,,,,,Single wavelength,,,,,,,,,,,,,,,,,,IPR000270,PB1 domain,3.10.20.90,Alpha Beta,Roll,Ubiquitin-like (UB roll),"Phosphatidylinositol 3-kinase Catalytic Subunit; Chain A\, domain 1",,,,,,,,,Alpha and beta proteins (a+b),beta-Grasp (ubiquitin-like),CAD & PB1 domains,PB1 domain,P11433,CDC24_YEAST,0.09,,,9160.293,1,160,1,0,1,80,Cell division control protein 24,,N,Protein,Cloning artifact,"Cell division control protein 24,Calcium regulatory protein","YAL041W,CLS4,CDC24",1
1paa,Solution NMR,,STRUCTURE OF A HISTIDINE-X4-HISTIDINE ZINC FINGER DOMAIN: INSIGHTS INTO ADR1-UAS1 PROTEIN-DNA RECOGNITION,"Bernstein BE,Hoffman RC,Horvath SJ,Herriott JR,Klevit RE",Engineered,,,,,,,,P 1,,,,,,,,,,,PF00096,zf-C2H2,C2H2-zf,"Zinc finger\, C2H2 type","IPR036236,IPR013087","Zinc finger C2H2 superfamily,Zinc finger C2H2-type",,,,,,,,,,GO:0003676,,nucleic acid binding,,Small proteins,beta-beta-alpha zinc fingers,beta-beta-alpha zinc fingers,"Classic zinc finger\, C2H2",P07248,ADR1_YEAST,0.02,,,3435.043,1,61,1,1,1,30,Regulatory protein ADR1,,N,Protein,Conflict,Regulatory protein ADR1,"YDR216W,YD8142B.08,ADR1,YD8142.16",1
1pyc,Solution NMR,y,"CYP1 (HAP1) DNA-BINDING DOMAIN (RESIDUES 60-100), NMR, 15 STRUCTURES","Timmerman J,Vuidepot A-L,Bontems F,Lallemand J-Y,Gervais M,Shechter E,Guiard B",Natural,,,,,,,X-PLOR,P 1,,,X-PLOR,,,,,,,,PF00172,Zn_clus,,Fungal Zn(2)-Cys(6) binuclear cluster domain,"IPR001138,IPR036864","Zn(2)-C6 fungal-type DNA-binding domain,Zn(2)-C6 fungal-type DNA-binding domain superfamily",4.10.240.10,Few Secondary Structures,Irregular,CD2-Gal4,Zn(2)-C6 fungal-type DNA-binding domain,,,,,"GO:0006355,GO:0000981,GO:0008270,GO:0005634","regulation of transcription\, DNA-templated","DNA-binding transcription factor activity\, RNA polymerase II-specific,zinc ion binding",nucleus,Small proteins,Zn2/Cys6 DNA-binding domain,Zn2/Cys6 DNA-binding domain,Zn2/Cys6 DNA-binding domain,P0CS82,HAP1_YEASX,0.05,,,8530.139,1,144,1,1,1,41,Heme-responsive zinc finger transcription factor HAP1,,N,Protein,,"Heme activator protein 1,CYP1 activatory protein,Heme-responsive zinc finger transcription factor HAP1","HAP1,CYP1",1
1pqs,Solution NMR,,Solution structure of the C-terminal OPCA domain of yCdc24p,"Leitner D,Wahl M,Labudde D,Diehl A,Schmieder P,Pires JR,Fossi M,Leidert M,Krause G,Oschkinat H",Engineered,,,,,Single wavelength,,,,,,,,,,,,,,,,,,IPR000270,PB1 domain,3.10.20.90,Alpha Beta,Roll,Ubiquitin-like (UB roll),"Phosphatidylinositol 3-kinase Catalytic Subunit; Chain A\, domain 1",,,,,,,,,Alpha and beta proteins (a+b),beta-Grasp (ubiquitin-like),CAD & PB1 domains,PB1 domain,P11433,CDC24_YEAST,0.09,,,8973.029,1,154,1,0,1,77,Cell division control protein 24,,N,Protein,,"Cell division control protein 24,Calcium regulatory protein","YAL041W,CLS4,CDC24",1
2lbw,Solution NMR,y,Solution structure of the S. cerevisiae H/ACA RNP protein Nhp2p-S82W mutant,"Koo B,Park C,Fernandez CF,Chim N,Ding Y,Chanfreau G,Feigon J",Engineered,,,,,,,,,,,,,,,,,,,PF01248,Ribosomal_L7Ae,PELOTA,Ribosomal protein L7Ae/L30e/S12e/Gadd45 family,"IPR002415,IPR018492,IPR004038,IPR029064","H/ACA ribonucleoprotein complex\, subunit Nhp2\, eukaryote,Ribosomal protein L7Ae/L8/Nhp2 family,Ribosomal protein L7Ae/L30e/S12e/Gadd45,50S ribosomal protein L30e-like","3.30.1330.30,3.30.1330.30","Alpha Beta,Alpha Beta","2-Layer Sandwich,2-Layer Sandwich","60s Ribosomal Protein L30; Chain: A;,60s Ribosomal Protein L30; Chain: A;","60s Ribosomal Protein L30; Chain: A;,Ribosomal protein L30/S12",,,,,"GO:0042254,GO:0003723,GO:0005730,GO:1990904",ribosome biogenesis,RNA binding,"nucleolus,ribonucleoprotein complex",,,,,P32495,NHP2_YEAST,0.78,17578,,13306.654,1,242,1,0,1,121,H/ACA ribonucleoprotein complex subunit NHP2,,N,Protein,Conflict,"H/ACA ribonucleoprotein complex subunit NHP2,High mobility group-like nuclear protein 2,H/ACA snoRNP protein NHP2","D1045,YDL208W,NHP2",1
1g3g,Solution NMR,,NMR STRUCTURE OF THE FHA1 DOMAIN OF YEAST RAD53,"Yuan C,Liao H,Su M,Yongkiettrakul S,Byeon I-JL,Tsai M-D",Engineered,,,,,,,,P 1,,,,,,,,,,,PF00498,FHA,SMAD-FHA,FHA domain,"IPR000253,IPR008984","Forkhead-associated (FHA) domain,SMAD/FHA domain superfamily",2.60.200.20,Mainly Beta,Sandwich,Tumour Suppressor Smad4,Tumour Suppressor Smad4,2.7.12.1,Dual-specificity kinase,ATP:protein phosphotransferase (Ser/Thr- and Tyr-phosphorylating),"Transferases,Transferring phosphorus-containing groups,Dual-specificity kinases (those acting on Ser/Thr and Tyr residues),Dual-specificity kinase",,,,,All beta proteins,SMAD/FHA domain,SMAD/FHA domain,FHA domain,P22216,RAD53_YEAST,0.2,,,18506.938,1,492,1,0,1,164,Serine/threonine-protein kinase RAD53,,N,Protein,Engineered mutation,"Serine/threonine-protein kinase RAD53,Serine-protein kinase 1,CHEK2 homolog","RAD53,SAD1,YPL153C,MEC2,P2588,SPK1",1
1nm7,Solution NMR,y,Solution structure of the ScPex13p SH3 domain,"Pires JR,Hong X,Brockmann C,Volkmer-Engert R,Schneider-Mergener J,Oschkinat H,Erdmann R",Engineered,,,,,Single wavelength,,,,,,,,,,,,,,PF00018,SH3_1,SH3,SH3 domain,"IPR001452,IPR036028,IPR035463","SH3 domain,SH3-like domain superfamily,Peroxin 13",2.30.30.40,Mainly Beta,Roll,SH3 type barrels.,SH3 Domains,,,,,"GO:0016560,GO:0005777,GO:0016021","protein import into peroxisome matrix\, docking",,"peroxisome,integral component of membrane",All beta proteins,SH3-like barrel,SH3-domain,SH3-domain,P80667,PEX13_YEAST,0.16,,,8086.208,1,138,1,0,1,61,Peroxisomal membrane protein PAS20,,N,Protein,Expression tag,"Peroxisomal membrane protein PAS20,Peroxin-13","PAS20,PEX13,YLR191W,L9470.1",1
1zfd,Solution NMR,y,"SWI5 ZINC FINGER DOMAIN 2, NMR, 45 STRUCTURES","Neuhaus D,Nakaseko Y,Schwabe JWR,Rhodes D,Klug A",Engineered,,,,,,,X-PLOR,P 1,,,X-PLOR,,,,,,,,PF00096,zf-C2H2,C2H2-zf,"Zinc finger\, C2H2 type","IPR036236,IPR013087","Zinc finger C2H2 superfamily,Zinc finger C2H2-type",,,,,,,,,,GO:0003676,,nucleic acid binding,,Small proteins,beta-beta-alpha zinc fingers,beta-beta-alpha zinc fingers,"Classic zinc finger\, C2H2",P08153,SWI5_YEAST,0.05,,,3800.272,1,65,1,1,1,32,Transcriptional factor SWI5,,N,Protein,,Transcriptional factor SWI5,"YDR146C,SWI5,YD8358.03C",1
1fhq,Solution NMR,,REFINED SOLUTION STRUCTURE OF THE FHA2 DOMAIN OF RAD53,"Byeon I-JL,Liao H,Tsai M-D",Engineered,,,,,,,,P 1,,,,,,,,,,,PF00498,FHA,SMAD-FHA,FHA domain,"IPR000253,IPR008984","Forkhead-associated (FHA) domain,SMAD/FHA domain superfamily",2.60.200.20,Mainly Beta,Sandwich,Tumour Suppressor Smad4,Tumour Suppressor Smad4,2.7.12.1,Dual-specificity kinase,ATP:protein phosphotransferase (Ser/Thr- and Tyr-phosphorylating),"Transferases,Transferring phosphorus-containing groups,Dual-specificity kinases (those acting on Ser/Thr and Tyr residues),Dual-specificity kinase",,,,,All beta proteins,SMAD/FHA domain,SMAD/FHA domain,FHA domain,P22216,RAD53_YEAST,0.19,,,18148.758,1,474,1,0,1,158,Serine/threonine-protein kinase RAD53,,N,Protein,,"Serine/threonine-protein kinase RAD53,Serine-protein kinase 1,CHEK2 homolog","RAD53,SAD1,YPL153C,MEC2,P2588,SPK1",1
1ck2,Solution NMR,y,YEAST (SACCHAROMYCES CEREVISIAE) RIBOSOMAL PROTEIN L30,"Mao H,Willamson JR",Engineered,,,,,,,,P 1,,,,,,,,,,,PF01248,Ribosomal_L7Ae,PELOTA,Ribosomal protein L7Ae/L30e/S12e/Gadd45 family,"IPR039109,IPR004038,IPR029064","Ribosomal protein L30/YlxQ,Ribosomal protein L7Ae/L30e/S12e/Gadd45,50S ribosomal protein L30e-like","3.30.1330.30,3.30.1330.30","Alpha Beta,Alpha Beta","2-Layer Sandwich,2-Layer Sandwich","60s Ribosomal Protein L30; Chain: A;,60s Ribosomal Protein L30; Chain: A;","60s Ribosomal Protein L30; Chain: A;,Ribosomal protein L30/S12",,,,,"GO:0006364,GO:0048025,GO:0002181,GO:0030627,GO:0003723,GO:0003735,GO:0022625,GO:0005840,GO:0005737","rRNA processing,negative regulation of mRNA splicing\, via spliceosome,cytoplasmic translation","pre-mRNA 5'-splice site binding,RNA binding,structural constituent of ribosome","cytosolic large ribosomal subunit,ribosome,cytoplasm",Alpha and beta proteins (a+b),Bacillus chorismate mutase-like,L30e-like,L30e/L7ae ribosomal proteins,P14120,RL30_YEAST,0.99,,,11299.168,1,312,1,0,1,104,60S ribosomal protein L30,,N,Protein,,"Large ribosomal subunit protein eL30,L32,RP73,YL38,60S ribosomal protein L30","YGL030W,RPL32,RPL30",1
2jwz,Solution NMR,,Mutations in the hydrophobic core of ubiquitin differentially affect its recognition by receptor proteins,"Haririnia A,Verma R,Purohit N,Twarog M,Deshaies R,Bolon D,Fushman D",Engineered,,,,,,,,P 1,,,,,,,,,,,PF00240,ubiquitin,Ubiquitin,Ubiquitin family,"IPR019956,IPR029071,IPR000626","Ubiquitin domain,Ubiquitin-like domain superfamily,Ubiquitin-like domain",3.10.20.90,Alpha Beta,Roll,Ubiquitin-like (UB roll),"Phosphatidylinositol 3-kinase Catalytic Subunit; Chain A\, domain 1",,,,,,,,,Designed proteins,Ubiquitin,Ubiquitin,Ubiquitin,P0CG63,UBI4P_YEAST,0.2,,,8542.688,1,152,1,0,1,76,Ubiquitin,,N,Protein,Engineered mutation,"Ubiquitin,Polyubiquitin","UBI4,SCD2,YLL039C",1
2k8q,Solution NMR,y,NMR Structure of Shq1p N-terminal domain,"Godin KS,Varani G",Engineered,,,,,,,,P 1,,,,,,,,,,,,,,,"IPR008978,IPR039742","HSP20-like chaperone,Protein Shq1",2.60.40.790,Mainly Beta,Sandwich,Immunoglobulin-like,Immunoglobulin-like,,,,,GO:0000493,box H/ACA snoRNP assembly,,,,,,,P40486,SHQ1_YEAST,0.26,,,15383.342,1,268,1,0,1,134,Protein SHQ1,,N,Protein,Engineered mutation,"Protein SHQ1,Small nucleolar RNAs of the box H/ACA family quantitative accumulation protein 1","YIL104C,SHQ1",1
1ifw,Solution NMR,y,SOLUTION STRUCTURE OF C-TERMINAL DOMAIN OF POLY(A) BINDING PROTEIN FROM SACCHAROMYCES CEREVISIAE,"Kozlov G,Siddiqui N,Coillet-Matillon S,Sprules T,Ekiel I,Gehring K",Engineered,,,,,Single wavelength,,,,,,,,,,,,,,PF00658,PABP,,"Poly-adenylate binding protein\, unique domain","IPR036053,IPR002004","PABC (PABP) domain,Polyadenylate-binding protein/Hyperplastic disc protein",1.10.1900.10,Mainly Alpha,Orthogonal Bundle,c-terminal domain of poly(a) binding protein,c-terminal domain of poly(a) binding protein,,,,,GO:0003723,,RNA binding,,All alpha proteins,PABP domain-like,PABC (PABP) domain,PABC (PABP) domain,P04147,PABP_YEAST,0.15,,,10445.41,1,276,1,0,1,92,"Polyadenylate-binding protein\, cytoplasmic and nuclear",,N,Protein,Cloning artifact,"Polyadenylate-binding protein\, cytoplasmic and nuclear,PABP,Poly(A)-binding protein,ARS consensus-binding protein ACBP-67,Polyadenylate tail-binding protein","PAB1,YER165W",1
