pdb_id,pfam_accession,pfam_name,pfam_clan_name,pfam_description,interpro_accession,interpro_name,cath_code,cath_class,cath_architecture,cath_topology,cath_homologous_superfamily,ec_number,enzyme_name,enzyme_systematic_name,ec_hierarchy_name,go_id,biological_process,biological_function,biological_cell_component,scop_class,scop_fold,scop_superfamily,scop_family,uniprot_accession,uniprot_id,uniprot_coverage,bmrb_id,emdb_id,model_quality,data_quality,r_factor,resolution,r_free,entity_id
2mpm,,,,,,,,,,,,,,,,,,,,,,,,,,,19989,,2.57,-1.0,,,,2
2yr3,PF07679,I-set,Ig,Immunoglobulin I-set domain,"IPR003599,IPR003598,IPR013098,IPR013783,IPR036179","Immunoglobulin subtype,Immunoglobulin subtype 2,Immunoglobulin I-set,Immunoglobulin-like fold,Immunoglobulin-like domain superfamily",2.60.40.10,Mainly Beta,Sandwich,Immunoglobulin-like,Immunoglobulins,2.7.11.18,Myosin-light-chain kinase,ATP:[myosin-light-chain] O-phosphotransferase,"Transferases,Transferring phosphorus-containing groups,Protein-serine/threonine kinases,Myosin-light-chain kinase",,,,,,,,,"Q15746,Q15746-3,Q15746-11,Q15746-2,Q15746-6,Q15746-5,Q15746-7,Q15746-8,Q15746-4,Q15746-10,Q15746-9","MYLK_HUMAN,MYLK_HUMAN,MYLK_HUMAN,MYLK_HUMAN,MYLK_HUMAN,MYLK_HUMAN,MYLK_HUMAN,MYLK_HUMAN,MYLK_HUMAN,MYLK_HUMAN,MYLK_HUMAN",0.05,,,19.95,-1.0,,,,1
2n6f,"PF05196,PF01091","PTN_MK_N,PTN_MK_C",,"PTN/MK heparin-binding protein family\, N-terminal domain,PTN/MK heparin-binding protein family\, C-terminal domain","IPR037122,IPR020091,IPR020090,IPR000762,IPR020089,IPR038130","Pleiotrophin/Midkine\, N-terminal domain superfamily,Pleiotrophin/Midkine disulphide-rich domain superfamily,Pleiotrophin/Midkine\, C-terminal domain,Midkine heparin-binding growth factor,Pleiotrophin/Midkine\, N-terminal domain,Pleiotrophin/Midkine\, C-terminal domain superfamily",,,,,,,,,,"GO:0007613,GO:0043065,GO:0043113,GO:0010594,GO:0002232,GO:0036120,GO:0050680,GO:0045837,GO:0031641,GO:0030282,GO:0021794,GO:0030501,GO:2000036,GO:1903706,GO:1904389,GO:2000738,GO:0043932,GO:0060221,GO:0044849,GO:0051781,GO:0048680,GO:0048477,GO:0072201,GO:0010976,GO:0030902,GO:0031104,GO:0071456,GO:0060253,GO:0008284,GO:1904395,GO:1904373,GO:0007185,GO:0071305,GO:0021510,GO:0002690,GO:0007406,GO:0007229,GO:0007612,GO:0032515,GO:0021549,GO:0140059,GO:0042246,GO:0048167,GO:0007420,GO:0034644,GO:0016525,GO:0045446,GO:1904397,GO:0010811,GO:0030336,GO:0048714,GO:0060291,GO:1900006,GO:0042493,GO:0045778,GO:0007399,GO:0010996,GO:0045597,GO:1900272,GO:2000347,GO:0007507,GO:0060041,GO:0032355,GO:0071407,GO:0046697,GO:0032570,GO:0014823,GO:0001889,GO:0008360,GO:1904391,GO:0030324,GO:1990089,GO:0001503,GO:0035374,GO:0008201,GO:0035373,GO:0045545,GO:0005515,GO:1904399,GO:0004864,GO:0005178,GO:0005539,GO:0043394,GO:0038085,GO:0019901,GO:0008083,GO:0005783,GO:0016020,GO:0048471,GO:0005615,GO:0032991,GO:0098793,GO:0005604,GO:0098794,GO:0005737,GO:0009986,GO:0005576,GO:0031594,GO:0005886","memory,positive regulation of apoptotic process,receptor clustering,regulation of endothelial cell migration,leukocyte chemotaxis involved in inflammatory response,cellular response to platelet-derived growth factor stimulus,negative regulation of epithelial cell proliferation,negative regulation of membrane potential,regulation of myelination,bone mineralization,thalamus development,positive regulation of bone mineralization,regulation of stem cell population maintenance,regulation of hemopoiesis,rod bipolar cell differentiation,positive regulation of stem cell differentiation,ossification involved in bone remodeling,retinal rod cell differentiation,estrous cycle,positive regulation of cell division,positive regulation of axon regeneration,oogenesis,negative regulation of mesenchymal cell proliferation,positive regulation of neuron projection development,hindbrain development,dendrite regeneration,cellular response to hypoxia,negative regulation of glial cell proliferation,positive regulation of cell population proliferation,positive regulation of skeletal muscle acetylcholine-gated channel clustering,response to kainic acid,transmembrane receptor protein tyrosine phosphatase signaling pathway,cellular response to vitamin D,spinal cord development,positive regulation of leukocyte chemotaxis,negative regulation of neuroblast proliferation,integrin-mediated signaling pathway,learning,negative regulation of phosphoprotein phosphatase activity,cerebellum development,dendrite arborization,tissue regeneration,regulation of synaptic plasticity,brain development,cellular response to UV,negative regulation of angiogenesis,endothelial cell differentiation,negative regulation of neuromuscular junction development,positive regulation of cell-substrate adhesion,negative regulation of cell migration,positive regulation of oligodendrocyte differentiation,long-term synaptic potentiation,positive regulation of dendrite development,response to drug,positive regulation of ossification,nervous system development,response to auditory stimulus,positive regulation of cell differentiation,negative regulation of long-term synaptic potentiation,positive regulation of hepatocyte proliferation,heart development,retina development in camera-type eye,response to estradiol,cellular response to organic cyclic compound,decidualization,response to progesterone,response to activity,liver development,regulation of cell shape,response to ciliary neurotrophic factor,lung development,response to nerve growth factor,ossification","chondroitin sulfate binding,heparin binding,chondroitin sulfate proteoglycan binding,syndecan binding,protein binding,heparan sulfate binding,protein phosphatase inhibitor activity,integrin binding,glycosaminoglycan binding,proteoglycan binding,vascular endothelial growth factor binding,protein kinase binding,growth factor activity","endoplasmic reticulum,membrane,perinuclear region of cytoplasm,extracellular space,protein-containing complex,presynapse,basement membrane,postsynapse,cytoplasm,cell surface,extracellular region,neuromuscular junction,plasma membrane",,,,,P21246,PTN_HUMAN,1.0,25762,,20.94,-1.0,,,,1
1mk3,"PF02180,PF00452","BH4,Bcl-2",BCLiA,"Bcl-2 homology region 4,Apoptosis regulator proteins\, Bcl-2 family","IPR026298,IPR013280,IPR036834,IPR003093","Blc2 family,Apoptosis regulator\, Bcl-W,Blc2-like superfamily,Apoptosis regulator\, Bcl-2 protein\, BH4",1.10.437.10,Mainly Alpha,Orthogonal Bundle,Apoptosis Regulator Bcl-x,Blc2-like,,,,,GO:0042981,regulation of apoptotic process,,,Membrane and cell surface proteins and peptides,Toxins' membrane translocation domains,Bcl-2 inhibitors of programmed cell death,Bcl-2 inhibitors of programmed cell death,"Q92843,Q92843-2","B2CL2_HUMAN,B2CL2_HUMAN",0.88,,,1.46,-1.0,,,,1
2p03,PF06401,Alpha-2-MRAP_C,,"Alpha-2-macroglobulin RAP\, C-terminal domain","IPR038003,IPR010483,IPR037999,IPR036744,IPR038001,IPR009066","Alpha-2-macroglobulin receptor-associated protein,Alpha-2-macroglobulin RAP\, C-terminal,Alpha-2-macroglobulin RAP\, domain 3,RAP domain superfamily,Alpha-2-macroglobulin RAP\, domain 2,Alpha-2-macroglobulin receptor-associated protein\, domain 1",1.20.81.10,Mainly Alpha,Up-down Bundle,Receptor-associated Protein,RAP domain,,,,,"GO:2000272,GO:0007165,GO:0060548,GO:1900222,GO:0002091,GO:0032091,GO:0048259,GO:1900116,GO:0150093,GO:1900223,GO:0010916,GO:0008201,GO:0005515,GO:0050750,GO:0001540,GO:0070326,GO:0048019,GO:0005102,GO:0048018,GO:0035473,GO:0005801,GO:0005768,GO:0005783,GO:0005796,GO:0031982,GO:0005794,GO:0005791,GO:0005793,GO:0031904,GO:0005737,GO:0005886,GO:0005576,GO:0009986,GO:0048237","negative regulation of signaling receptor activity,signal transduction,negative regulation of cell death,negative regulation of amyloid-beta clearance,negative regulation of receptor internalization,negative regulation of protein binding,regulation of receptor-mediated endocytosis,extracellular negative regulation of signal transduction,amyloid-beta clearance by transcytosis,positive regulation of amyloid-beta clearance,negative regulation of very-low-density lipoprotein particle clearance","heparin binding,protein binding,low-density lipoprotein particle receptor binding,amyloid-beta binding,very-low-density lipoprotein particle receptor binding,receptor antagonist activity,signaling receptor binding,receptor ligand activity,lipase binding","cis-Golgi network,endosome,endoplasmic reticulum,Golgi lumen,vesicle,Golgi apparatus,rough endoplasmic reticulum,endoplasmic reticulum-Golgi intermediate compartment,endosome lumen,cytoplasm,plasma membrane,extracellular region,cell surface,rough endoplasmic reticulum lumen",,,,,P30533,AMRP_HUMAN,1.0,,,1.73,-1.0,,,,1
6sap,PF09409,PUB,,PUB domain,,,,,,,,,,,,,,,,,,,,"Q9BZV1,Q9BZV1-2","UBXN6_HUMAN,UBXN6_HUMAN",0.26,27977,,14.13,-1.0,,,,1
2k1j,,,,,"IPR013083,IPR001965,IPR028651,IPR011011,IPR028647,IPR019787","Zinc finger\, RING/FYVE/PHD-type,Zinc finger\, PHD-type,ING family,Zinc finger\, FYVE/PHD-type,Inhibitor of growth protein 4,Zinc finger\, PHD-finger",3.30.40.10,Alpha Beta,2-Layer Sandwich,Herpes Virus-1,"Zinc/RING finger domain\, C3HC4 (zinc finger)",,,,,"GO:0043065,GO:0016573,GO:0008285,GO:0035064,GO:0005634","positive regulation of apoptotic process,histone acetylation,negative regulation of cell population proliferation",methylated histone binding,nucleus,Small proteins,FYVE/PHD zinc finger,FYVE/PHD zinc finger,PHD domain,"Q9UNL4,Q9UNL4-2,Q9UNL4-3,Q9UNL4-5,Q9UNL4-4,Q9UNL4-6,Q9UNL4-7","ING4_HUMAN,ING4_HUMAN,ING4_HUMAN,ING4_HUMAN,ING4_HUMAN,ING4_HUMAN,ING4_HUMAN",0.25,7210,,18.92,-1.0,,,,1
1s4w,PF00357,Integrin_alpha,,Integrin alpha cytoplasmic region,IPR018184,"Integrin alpha chain\, C-terminal cytoplasmic region\, conserved site",,,,,,,,,,,,,,Peptides,Integrin fragments,Integrin fragments,Integrin fragments,"P08514,P08514-2,P08514-3","ITA2B_HUMAN,ITA2B_HUMAN,ITA2B_HUMAN",0.02,,,0.28,-1.0,,,,1
2lsq,,,,,,,,,,,,,,,,,,,,,,,,P08588,ADRB1_HUMAN,0.04,18440,,5.46,-1.0,,,,1
2ej7,PF00226,DnaJ,Chaperone-J,DnaJ domain,"IPR026901,IPR036869,IPR001623","DnaJ homologue subfamily B member 3,Chaperone J-domain superfamily,DnaJ domain",1.10.287.110,Mainly Alpha,Orthogonal Bundle,Helix Hairpins,DnaJ domain,,,,,,,,,,,,,Q8WWF6,DNJB3_HUMAN,0.48,,,15.43,-1.0,,,,1
1e91,,,,,,,,,,,,,,,,,,,,,,,,"Q05195,Q05195-2","MAD1_HUMAN,MAD1_HUMAN",0.06,5457,,26.37,-1.0,,,,2
2v0f,PF07533,BRK,,BRK domain,"IPR037259,IPR006576","BRK domain superfamily,BRK domain",2.20.28.130,Mainly Beta,Single Sheet,"Rubrerythrin\, domain 2","Rubrerythrin\, domain 2",3.6.4.12,DNA helicase,ATP phosphohydrolase (DNA helix unwinding),"Hydrolases,Acting on acid anhydrides,Acting on ATP; involved in cellular and subcellular movement,DNA helicase",GO:0016817,,"hydrolase activity\, acting on acid anhydrides",,Alpha and beta proteins (a+b),GYF/BRK domain-like,BRK domain-like,BRK domain-like,"Q9P2D1,Q9P2D1-4,Q9P2D1-3","CHD7_HUMAN,CHD7_HUMAN,CHD7_HUMAN",0.03,,,3.49,-1.0,,,,1
1bjc,,,,,"IPR037071,IPR013803","Amyloidogenic glycoprotein\, amyloid-beta peptide superfamily,Amyloidogenic glycoprotein\, amyloid-beta peptide",,,,,,,,,,GO:0016021,,,integral component of membrane,Peptides,Amyloid peptides,Amyloid peptides,Amyloid peptides,"P05067,P05067-10,P05067-7,P05067-6,P05067-4,P05067-9,P05067-5,P05067-3,P05067-11,P05067-8","A4_HUMAN,A4_HUMAN,A4_HUMAN,A4_HUMAN,A4_HUMAN,A4_HUMAN,A4_HUMAN,A4_HUMAN,A4_HUMAN,A4_HUMAN",0.04,,,11.83,-1.0,,,,1
2f3i,PF03870,RNA_pol_Rpb8,OB,RNA polymerase Rpb8,"IPR005570,IPR012340","RNA polymerase\, Rpb8,Nucleic acid-binding\, OB-fold",2.40.50.140,Mainly Beta,Beta Barrel,"OB fold (Dihydrolipoamide Acetyltransferase\, E2P)",Nucleic acid-binding proteins,2.7.7.6,DNA-directed RNA polymerase,Nucleoside-triphosphate:RNA nucleotidyltransferase (DNA-directed),"Transferases,Transferring phosphorus-containing groups,Nucleotidyltransferases,DNA-directed RNA polymerase","GO:0006363,GO:0006351,GO:0006368,GO:0006370,GO:0006366,GO:0006361,GO:0006283,GO:0032481,GO:0016070,GO:0008543,GO:0000398,GO:0035019,GO:0006362,GO:0006367,GO:0045815,GO:0050434,GO:0060964,GO:0042795,GO:0003677,GO:0003899,GO:0003697,GO:0005666,GO:0005634,GO:0005730,GO:0005654,GO:0005736,GO:0032993,GO:0005665,GO:0005829","termination of RNA polymerase I transcription,transcription\, DNA-templated,transcription elongation from RNA polymerase II promoter,7-methylguanosine mRNA capping,transcription by RNA polymerase II,transcription initiation from RNA polymerase I promoter,transcription-coupled nucleotide-excision repair,positive regulation of type I interferon production,RNA metabolic process,fibroblast growth factor receptor signaling pathway,mRNA splicing\, via spliceosome,somatic stem cell population maintenance,transcription elongation from RNA polymerase I promoter,transcription initiation from RNA polymerase II promoter,positive regulation of gene expression\, epigenetic,positive regulation of viral transcription,regulation of gene silencing by miRNA,snRNA transcription by RNA polymerase II","DNA binding,DNA-directed 5'-3' RNA polymerase activity,single-stranded DNA binding","RNA polymerase III complex,nucleus,nucleolus,nucleoplasm,RNA polymerase I complex,protein-DNA complex,RNA polymerase II\, core complex,cytosol",,,,,"P52434,P52434-4,P52434-3,P52434-2,P52434-5","RPAB3_HUMAN,RPAB3_HUMAN,RPAB3_HUMAN,RPAB3_HUMAN,RPAB3_HUMAN",1.0,,,19.24,-1.0,,,,1
2m6i,,,,,"IPR036719,IPR006028,IPR006029,IPR006201","Neurotransmitter-gated ion-channel transmembrane domain superfamily,Gamma-aminobutyric acid A receptor/Glycine receptor alpha,Neurotransmitter-gated ion-channel transmembrane domain,Neurotransmitter-gated ion-channel",1.20.58.390,Mainly Alpha,Up-down Bundle,"Methane Monooxygenase Hydroxylase; Chain G\, domain 1",Neurotransmitter-gated ion-channel transmembrane domain,,,,,"GO:0034220,GO:0006811,GO:0005216,GO:0004888,GO:0016021","ion transmembrane transport,ion transport","ion channel activity,transmembrane signaling receptor activity",integral component of membrane,,,,,"P23415,P23415-2","GLRA1_HUMAN,GLRA1_HUMAN",0.33,19126,,5.3,-1.0,,,,1
5im8,PF18568,COS,,TRIM C-terminal subgroup One Signature domain,"IPR040859,IPR027727","Midline-1\, COS domain,Midline-1",,,,,,2.3.2.27,RING-type E3 ubiquitin transferase,[E2 ubiquitin-conjugating enzyme]-S-ubiquitinyl-L-cysteine:[acceptor protein]-L-lysine ubiquitin transferase (isopeptide bond-forming; RING-type),"Transferases,Acyltransferases,Aminoacyltransferases,RING-type E3 ubiquitin transferase",,,,,,,,,"O15344,O15344-2","TRI18_HUMAN,TRI18_HUMAN",0.09,30031,,1.84,-1.0,,,,1
2en7,PF00096,zf-C2H2,C2H2-zf,"Zinc finger\, C2H2 type","IPR036236,IPR013087","Zinc finger C2H2 superfamily,Zinc finger C2H2-type",3.30.160.60,Alpha Beta,2-Layer Sandwich,Double Stranded RNA Binding Domain,Classic Zinc Finger,,,,,GO:0003676,,nucleic acid binding,,Designed proteins,Zinc finger design,Zinc finger design,Zinc finger design,"Q14587,Q14587-2,Q14587-8,Q14587-7,Q14587-6,Q14587-4,Q14587-3","ZN268_HUMAN,ZN268_HUMAN,ZN268_HUMAN,ZN268_HUMAN,ZN268_HUMAN,ZN268_HUMAN,ZN268_HUMAN",0.03,,,14.8,-1.0,,,,1
2n1o,,,,,,,,,,,,,,,,,,,,,,,,"Q9BZB8,Q9BZB8-4,Q9BZB8-3,Q9BZB8-2","CPEB1_HUMAN,CPEB1_HUMAN,CPEB1_HUMAN,CPEB1_HUMAN",0.01,25569,,23.36,-1.0,,,,2
2l7w,PF01161,PBP,,Phosphatidylethanolamine-binding protein,"IPR036610,IPR008914,IPR035810","PEBP-like superfamily,Phosphatidylethanolamine-binding protein,Phosphatidylethanolamine-binding protein\, eukaryotic",3.90.280.10,Alpha Beta,Alpha-Beta Complex,Phosphatidylethanolamine-binding Protein,PEBP-like,,,,,"GO:0010466,GO:0010951,GO:0000165,GO:0043409,GO:0030414,GO:0005524,GO:0005515,GO:0003723,GO:0004867,GO:0019899,GO:0008429,GO:0000166,GO:0008289,GO:0019901,GO:0005634,GO:0070062,GO:0005737,GO:0005829","negative regulation of peptidase activity,negative regulation of endopeptidase activity,MAPK cascade,negative regulation of MAPK cascade","peptidase inhibitor activity,ATP binding,protein binding,RNA binding,serine-type endopeptidase inhibitor activity,enzyme binding,phosphatidylethanolamine binding,nucleotide binding,lipid binding,protein kinase binding","nucleus,extracellular exosome,cytoplasm,cytosol",,,,,P30086,PEBP1_HUMAN,1.0,17382,,9.73,-1.0,,,,1
2n1o,PF00397,WW,WW,WW domain,"IPR001202,IPR036020","WW domain,WW domain superfamily",,,,,,5.2.1.8,Peptidylprolyl isomerase,Peptidylproline cis-trans-isomerase,"Isomerases,Cis-trans-isomerases,Cis-trans isomerases,Peptidylprolyl isomerase",,,,,,,,,Q13526,PIN1_HUMAN,0.2,25569,,23.36,-1.0,,,,1
2rvq,"PF16211,PF00125","Histone_H2A_C,Histone",Histone,"C-terminus of histone H2A,Core histone H2A/H2B/H3/H4","IPR007125,IPR002119,IPR009072,IPR032454","Histone H2A/H2B/H3,Histone H2A,Histone-fold,Histone H2A\, C-terminal domain",1.10.20.10,Mainly Alpha,Orthogonal Bundle,"Histone\, subunit A","Histone\, subunit A",,,,,"GO:0006342,GO:0006325,GO:0008285,GO:0005515,GO:0046982,GO:0003677,GO:0005634,GO:0070062,GO:0000786,GO:0005694,GO:0000790","chromatin silencing,chromatin organization,negative regulation of cell population proliferation","protein binding,protein heterodimerization activity,DNA binding","nucleus,extracellular exosome,nucleosome,chromosome,nuclear chromatin",,,,,P04908,H2A1B_HUMAN,1.0,11609,,77.3,-1.0,,,,1
6cch,PF00071,Ras,P-loop_NTPase,Ras family,"IPR001806,IPR020849,IPR027417,IPR005225","Small GTPase,Small GTPase superfamily\, Ras-type,P-loop containing nucleoside triphosphate hydrolase,Small GTP-binding protein domain",3.40.50.300,Alpha Beta,3-Layer(aba) Sandwich,Rossmann fold,P-loop containing nucleotide triphosphate hydrolases,,,,,"GO:0048169,GO:0048873,GO:0045596,GO:0007165,GO:0030036,GO:0043406,GO:0001934,GO:0051092,GO:0043524,GO:2000774,GO:0051385,GO:0007265,GO:0031647,GO:0060441,GO:0008284,GO:0051384,GO:0008542,GO:0019221,GO:0035022,GO:0051000,GO:0007565,GO:0010628,GO:0002223,GO:0021897,GO:0000165,GO:0001889,GO:0051146,GO:0035900,GO:0038002,GO:0032228,GO:0030275,GO:0003924,GO:0019002,GO:0005515,GO:0019003,GO:0005525,GO:0000166,GO:0044877,GO:0016020,GO:0005925,GO:0005737,GO:0045121,GO:0005886,GO:0005739,GO:0031234,GO:0005829","regulation of long-term neuronal synaptic plasticity,homeostasis of number of cells within a tissue,negative regulation of cell differentiation,signal transduction,actin cytoskeleton organization,positive regulation of MAP kinase activity,positive regulation of protein phosphorylation,positive regulation of NF-kappaB transcription factor activity,negative regulation of neuron apoptotic process,positive regulation of cellular senescence,response to mineralocorticoid,Ras protein signal transduction,regulation of protein stability,epithelial tube branching involved in lung morphogenesis,positive regulation of cell population proliferation,response to glucocorticoid,visual learning,cytokine-mediated signaling pathway,positive regulation of Rac protein signal transduction,positive regulation of nitric-oxide synthase activity,female pregnancy,positive regulation of gene expression,stimulatory C-type lectin receptor signaling pathway,forebrain astrocyte development,MAPK cascade,liver development,striated muscle cell differentiation,response to isolation stress,endocrine signaling,regulation of synaptic transmission\, GABAergic","LRR domain binding,GTPase activity,GMP binding,protein binding,GDP binding,GTP binding,nucleotide binding,protein-containing complex binding","membrane,focal adhesion,cytoplasm,membrane raft,plasma membrane,mitochondrion,extrinsic component of cytoplasmic side of plasma membrane,cytosol",,,,,"P01116,P01116-2","RASK_HUMAN,RASK_HUMAN",0.98,30401,,25.69,-1.0,,,,2
5ujn,PF00240,ubiquitin,Ubiquitin,Ubiquitin family,"IPR019956,IPR029071,IPR000626","Ubiquitin domain,Ubiquitin-like domain superfamily,Ubiquitin-like domain",,,,,,,,,,,,,,,,,,P0CG47,UBB_HUMAN,0.33,30234,,9.29,-1.0,,,,1
2ecb,PF00046,Homeodomain,HTH,Homeodomain,"IPR001356,IPR009057","Homeobox domain,Homeobox-like domain superfamily",1.10.10.60,Mainly Alpha,Orthogonal Bundle,"Arc Repressor Mutant\, subunit A",Homeodomain-like,,,,,GO:0003677,,DNA binding,,All alpha proteins,DNA/RNA-binding 3-helical bundle,Homeodomain-like,Homeodomain,Q9UKY1,ZHX1_HUMAN,0.09,,,21.03,-1.0,,,,1
2dam,,,,,IPR009060,UBA-like superfamily,"1.10.8.10,1.10.8.10","Mainly Alpha,Mainly Alpha","Orthogonal Bundle,Orthogonal Bundle","Helicase\, Ruva Protein; domain 3,Helicase\, Ruva Protein; domain 3","DNA helicase RuvA subunit\, C-terminal domain,Ubiquitin-associated (UBA) domain",,,,,,,,,,,,,Q96CS3,FAF2_HUMAN,0.12,,,5.81,-1.0,,,,1
2djr,PF02892,zf-BED,C2H2-zf,BED zinc finger,"IPR003656,IPR036236","Zinc finger\, BED-type,Zinc finger C2H2 superfamily",,,,,,,,,,GO:0003677,,DNA binding,,,,,,Q9BTP6,ZBED2_HUMAN,0.29,,,10.3,-1.0,,,,1
2mmy,PF00076,RRM_1,RRM,"RNA recognition motif. (a.k.a. RRM\, RBD\, or RNP domain)","IPR034870,IPR034875,IPR000504,IPR012677,IPR035979","TAF15/EWS/TLS family,TATA binding associated factor 15,RNA recognition motif domain,Nucleotide-binding alpha-beta plait domain superfamily,RNA-binding domain superfamily","3.30.70.330,3.30.70.330","Alpha Beta,Alpha Beta","2-Layer Sandwich,2-Layer Sandwich","Alpha-Beta Plaits,Alpha-Beta Plaits","Alpha-Beta Plaits,RRM (RNA recognition motif) domain",,,,,"GO:0006355,GO:0003723,GO:0003676","regulation of transcription\, DNA-templated","RNA binding,nucleic acid binding",,,,,,"Q92804,Q92804-2","RBP56_HUMAN,RBP56_HUMAN",0.16,19320,,7.6,-1.0,,,,1
2jrf,PF05517,p25-alpha,EF_hand,p25-alpha,"IPR011992,IPR008907,IPR030795","EF-hand domain pair,P25-alpha,Tubulin polymerisation-promoting protein family member 3",1.10.238.10,Mainly Alpha,Orthogonal Bundle,Recoverin; domain 1,EF-hand,,,,,"GO:0007566,GO:0032273,GO:0001578,GO:0046785,GO:0046697,GO:0015631,GO:0097427,GO:0048471,GO:0005874,GO:0005737,GO:0005856","embryo implantation,positive regulation of protein polymerization,microtubule bundle formation,microtubule polymerization,decidualization",tubulin binding,"microtubule bundle,perinuclear region of cytoplasm,microtubule,cytoplasm,cytoskeleton",,,,,Q9BW30,TPPP3_HUMAN,1.0,,,18.33,-1.0,,,,1
1ih0,"PF00036,PF13499","EF-hand_1,EF-hand_7","EF_hand,EF_hand","EF hand,EF-hand domain pair","IPR011992,IPR002048","EF-hand domain pair,EF-hand domain",1.10.238.10,Mainly Alpha,Orthogonal Bundle,Recoverin; domain 1,EF-hand,,,,,GO:0005509,,calcium ion binding,,All alpha proteins,EF Hand-like,EF-hand,Calmodulin-like,P63316,TNNC1_HUMAN,0.44,,,2.59,-1.0,,,,1
5u6h,,,,,IPR000571,"Zinc finger\, CCCH-type",3.30.1370.210,,,,,,,,,GO:0046872,,metal ion binding,,,,,,"Q9NR56,Q9NR56-7,Q9NR56-5,Q9NR56-2,Q9NR56-6,Q9NR56-4,Q9NR56-3","MBNL1_HUMAN,MBNL1_HUMAN,MBNL1_HUMAN,MBNL1_HUMAN,MBNL1_HUMAN,MBNL1_HUMAN,MBNL1_HUMAN",0.24,30207,,57.4,-1.0,,,,1
2py1,PF14651,Lipocalin_7,Calycin,Lipocalin / cytosolic fatty-acid binding protein family,"IPR031276,IPR031259,IPR012674,IPR000463","Liver basic fatty acid-binding protein,Intracellular lipid binding protein,Calycin,Cytosolic fatty-acid binding","2.40.128.20,2.40.128.20","Mainly Beta,Mainly Beta","Beta Barrel,Beta Barrel","Lipocalin,Lipocalin","Calycin beta-barrel core domain,Lipocalin",,,,,"GO:0043154,GO:0032000,GO:0098869,GO:0071456,GO:0019433,GO:0043066,GO:0051345,GO:0050892,GO:0019216,GO:0070301,GO:0015909,GO:0003682,GO:0005515,GO:0005324,GO:0016209,GO:0008289,GO:0008144,GO:0005543,GO:0032052,GO:0005504,GO:0005634,GO:0005654,GO:0070062,GO:0045179,GO:0032991,GO:0005737,GO:0005782,GO:0005829","negative regulation of cysteine-type endopeptidase activity involved in apoptotic process,positive regulation of fatty acid beta-oxidation,cellular oxidant detoxification,cellular response to hypoxia,triglyceride catabolic process,negative regulation of apoptotic process,positive regulation of hydrolase activity,intestinal absorption,regulation of lipid metabolic process,cellular response to hydrogen peroxide,long-chain fatty acid transport","chromatin binding,protein binding,long-chain fatty acid transporter activity,antioxidant activity,lipid binding,drug binding,phospholipid binding,bile acid binding,fatty acid binding","nucleus,nucleoplasm,extracellular exosome,apical cortex,protein-containing complex,cytoplasm,peroxisomal matrix,cytosol",,,,,P07148,FABPL_HUMAN,1.0,,,4.74,-1.0,,,,1
5mpl,PF00076,RRM_1,RRM,"RNA recognition motif. (a.k.a. RRM\, RBD\, or RNP domain)","IPR000504,IPR012677,IPR035979","RNA recognition motif domain,Nucleotide-binding alpha-beta plait domain superfamily,RNA-binding domain superfamily",3.30.70.330,Alpha Beta,2-Layer Sandwich,Alpha-Beta Plaits,RRM (RNA recognition motif) domain,,,,,GO:0003676,,nucleic acid binding,,,,,,"P09651,P09651-2,P09651-3","ROA1_HUMAN,ROA1_HUMAN,ROA1_HUMAN",0.27,34080,,10.72,-1.0,,,,1
2js2,PF00018,SH3_1,SH3,SH3 domain,"IPR001452,IPR036028,IPR035562","SH3 domain,SH3-like domain superfamily,Nck1\, SH3 domain 1",2.30.30.40,Mainly Beta,Roll,SH3 type barrels.,SH3 Domains,,,,,,,,,,,,,"P16333,P16333-2","NCK1_HUMAN,NCK1_HUMAN",0.16,,,29.2,-1.0,,,,1
1iq3,,,,,"IPR011992,IPR000261","EF-hand domain pair,EH domain",1.10.238.10,Mainly Alpha,Orthogonal Bundle,Recoverin; domain 1,EF-hand,,,,,GO:0005509,,calcium ion binding,,All alpha proteins,EF Hand-like,EF-hand,Eps15 homology domain (EH domain),"Q8NFH8,Q8NFH8-4,Q8NFH8-2,Q8NFH8-3","REPS2_HUMAN,REPS2_HUMAN,REPS2_HUMAN,REPS2_HUMAN",0.16,,,2.62,-1.0,,,,1
